,Rank,Company Name,Number of Employees,Change in Rank,Revenues ($millions),Revenue Change,Profits ($millions),Profit Change,Assets ($millions),Market Value As of 3/31/20 ($m),Sector,Industry,City,State,Latitude,Longitude
215,216,Goodyear Tire & Rubber,"63,000",-13,"$14,745 ",-4.70%,($311.00),-144.90%,"$17,185 ","$1,354 ",Motor Vehicles &  Parts,Motor Vehicles and Parts,Akron,OH,41.081444700000006,-81.51900529999999
216,217,Truist Financial,"59,000",29,"$14,664 ",12.80%,"$3,224.00 ",-0.40%,"$473,078 ","$41,480 ",,,,,,
217,218,Applied Materials,"22,000",-36,"$14,608 ",-15.30%,"$2,706.00 ",-18.30%,"$19,024 ","$42,077 ",Technology,Semiconductors and Other Electronic Components,Santa Clara,CA,37.354107899999995,-121.9552356
218,219,BlackRock,"16,200",2,"$14,539 ",2.40%,"$4,476.00 ",4.00%,"$168,622 ","$68,120 ",Financials,Securities,New York,NY,40.7127753,-74.0059728
219,220,Stanley Black & Decker,"59,438",8,"$14,442 ",3.30%,$955.80 ,57.90%,"$20,597 ","$15,403 ",Household Products,"Home Equipment, Furnishings",New Britain,CT,41.6612104,-72.77954190000001
220,221,Freeport-McMoRan,"27,500",-51,"$14,402 ",-22.70%,($239.00),-109.20%,"$40,809 ","$9,794 ",Energy,"Mining, Crude-Oil Production",Phoenix,AZ,33.4483771,-112.07403729999999
221,222,Texas Instruments,"29,768",-23,"$14,383 ",-8.90%,"$5,017.00 ",-10.10%,"$18,018 ","$93,303 ",Technology,Semiconductors and Other Electronic Components,Dallas,TX,32.7766642,-96.7969879
222,223,Biogen,"7,400",12,"$14,378 ",6.90%,"$5,888.50 ",32.90%,"$27,234 ","$55,070 ",Health Care,Pharmaceuticals,Cambridge,MA,42.373615799999996,-71.10973349999999
223,224,Parker-Hannifin,"55,610",-6,"$14,320 ",0.10%,"$1,512.40 ",42.60%,"$17,577 ","$16,653 ",Industrials,Industrial Machinery,Cleveland,OH,41.499320000000004,-81.6943605
224,225,Reinsurance Group of America,"3,188",26,"$14,300 ",11.10%,$870.00 ,21.50%,"$76,731 ","$5,186 ",Financials,"Insurance: Life, Health (stock)",Chesterfield,MO,38.6631083,-90.5770675
225,226,Howmet Aerospace,"41,700",1,"$14,192 ",1.30%,$470.00 ,-26.80%,"$17,578 ","$7,001 ",,,,,,
226,227,Automatic Data Processing,"58,000",12,"$14,175 ",6.40%,"$2,292.80 ",41.50%,"$41,888 ","$59,012 ",,,,,,
227,228,Uber Technologies,"26,900",-,"$14,147 ",25.50%,"($8,506.00)",-953.20%,"$31,761 ","$48,226 ",,,,,,
228,229,Illinois Tool Works,"45,000",-15,"$14,109 ",-4.50%,"$2,521.00 ",-1.60%,"$15,068 ","$45,126 ",Industrials,Industrial Machinery,Glenview,IL,42.069750899999995,-87.7878408
229,230,DaVita,"65,000",-42,"$14,102 ",-13.90%,$811.00 ,408.80%,"$17,311 ","$9,553 ",Health Care,Health Care: Medical Facilities,Denver,CO,39.739235799999996,-104.990251
230,231,Discover Financial Services,"17,200",22,"$13,989 ",8.90%,"$2,957.00 ",7.80%,"$113,996 ","$10,924 ",Financials,Commercial Banks,Riverwoods,IL,42.167525399999995,-87.897014
231,232,Land O'Lakes,"8,000",-20,"$13,888 ",-7.00%,$205.90 ,-19.10%,"$8,899 ",-,"Food, Beverages &  Tobacco",Food Consumer Products,Arden Hills,MN,45.0502435,-93.15661120000001
232,233,VF,"75,000",19,"$13,871 ",7.80%,"$1,259.80 ",91.30%,"$10,357 ","$21,347 ",Apparel,Apparel,Greensboro,NC,36.072635399999996,-79.79197540000001
233,234,Corteva,"21,000",-,"$13,846 ",-,($959.00),-,"$42,397 ","$17,608 ",,,,,,
234,235,Las Vegas Sands,"50,000",-5,"$13,739 ",0.10%,"$2,698.00 ",11.80%,"$23,199 ","$32,434 ","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",Las Vegas,NV,36.169941200000004,-115.13982959999998
235,236,Textron,"35,000",-7,"$13,630 ",-2.40%,$815.00 ,-33.30%,"$15,018 ","$6,071 ",Aerospace &  Defense,Aerospace and Defense,Providence,RI,41.8239891,-71.4128343
236,237,Kellogg,"31,000",-3,"$13,578 ",0.20%,$960.00 ,-28.10%,"$17,564 ","$20,547 ","Food, Beverages &  Tobacco",Food Consumer Products,Battle Creek,MI,42.32115220000001,-85.17971419999999
237,238,Guardian Life Ins. Co. of America,"9,032",6,"$13,477 ",3.50%,$679.80 ,46.20%,"$79,388 ",-,Financials,"Insurance: Life, Health (Mutual)",New York,NY,40.7127753,-74.0059728
238,239,Qurate Retail,"25,314",-14,"$13,458 ",-4.30%,($456.00),-149.80%,"$17,305 ","$2,540 ",Retailing,Internet Services and Retailing,Englewood,CO,39.647765299999996,-104.98775970000001
239,240,Core-Mark Holding,"8,555",10,"$13,329 ",3.30%,$57.70 ,26.80%,"$1,898 ","$1,295 ",Wholesalers,Wholesalers: Food and Grocery,South San Francisco,CA,37.654656,-122.40774979999999
240,241,Community Health Systems,"71,500",-18,"$13,210 ",-6.70%,($675.00),-,"$15,609 ",$394 ,Health Care,Health Care: Medical Facilities,Franklin,TN,35.9250637,-86.86888990000001
241,242,Kinder Morgan,"11,086",-18,"$13,209 ",-6.60%,"$2,190.00 ",36.10%,"$74,157 ","$31,530 ",Energy,Pipelines,Houston,TX,29.7604267,-95.36980279999999
242,243,BJ's Wholesale Club,"27,231",2,"$13,191 ",1.40%,$187.20 ,47.10%,"$5,270 ","$3,496 ",,,,,,
243,244,State Street,"39,103",3,"$13,131 ",1.20%,"$2,242.00 ",-13.70%,"$245,610 ","$18,876 ",,,,,,
244,245,Ameriprise Financial,"12,500",4,"$13,103 ",1.40%,"$1,893.00 ",-9.80%,"$151,828 ","$12,602 ",Financials,Diversified Financials,Minneapolis,MN,44.977753,-93.2650108
245,246,Global Partners,"3,860",8,"$13,082 ",3.20%,$35.90 ,-65.50%,"$2,808 ",$300 ,Wholesalers,Wholesalers: Diversified,Waltham,MA,42.376485200000005,-71.2356113
246,247,United States Steel,"27,500",-25,"$12,937 ",-8.80%,($630.00),-156.50%,"$11,608 ","$1,074 ",Materials,Metals,Pittsburgh,PA,40.440624799999995,-79.9958864
247,248,L Brands,"59,950",-7,"$12,914 ",-2.40%,($366.40),-156.90%,"$10,125 ","$3,197 ",Retailing,Specialty Retailers: Apparel,Columbus,OH,39.9611755,-82.9987942
248,249,MGM Resorts International,"72,000",17,"$12,900 ",9.70%,"$2,049.10 ",339.00%,"$33,876 ","$5,814 ","Hotels, Restaurants &  Leisure","Hotels, Casinos, Resorts",Las Vegas,NV,36.169941200000004,-115.13982959999998
249,250,L3Harris Technologies,"50,000",224,"$12,856 ",108.00%,"$1,333.00 ",85.70%,"$38,336 ","$39,067 ",,,,,,
250,251,DISH Network,"16,000",-19,"$12,808 ",-6.00%,"$1,399.50 ",-11.10%,"$33,231 ","$10,456 ",Telecommunications,Telecommunications,Englewood,CO,39.647765299999996,-104.98775970000001
251,252,Lithia Motors,"14,320",13,"$12,673 ",7.20%,$271.50 ,2.20%,"$6,084 ","$1,910 ",Retailing,"Automotive Retailing, Services",Medford,OR,42.3265152,-122.8755949
252,253,DTE Energy,"10,700",-33,"$12,669 ",-10.90%,"$1,169.00 ",4.40%,"$41,882 ","$18,290 ",Energy,Utilities: Gas and Electric,Detroit,MI,42.331427000000005,-83.0457538
253,254,American Family Insurance Group,"13,531",52,"$12,633 ",22.20%,$455.90 ,54.40%,"$31,124 ",-,Financials,Insurance: Property and Casualty (Stock),Madison,WI,43.07305170000001,-89.4012302
254,255,Farmers Insurance Exchange,"10,980",15,"$12,593 ",8.10%,$55.30 ,-,"$17,457 ",-,Financials,Insurance: Property and Casualty (Mutual),Los Angeles,CA,34.165357,-118.6089752
255,256,Consolidated Edison,"14,890",3,"$12,574 ",1.90%,"$1,343.00 ",-2.80%,"$58,079 ","$26,035 ",Energy,Utilities: Gas and Electric,New York,NY,40.7127753,-74.0059728
256,257,LKQ,"51,000",5,"$12,506 ",5.30%,$541.30 ,12.70%,"$12,780 ","$6,311 ",Wholesalers,Wholesalers: Diversified,Chicago,IL,41.8781136,-87.62979820000001
257,258,Sempra Energy,"13,969",11,"$12,443 ",6.50%,"$2,197.00 ",109.40%,"$65,665 ","$33,037 ",Energy,Utilities: Gas and Electric,San Diego,CA,32.715738,-117.1610838
258,259,Edison International,"12,937",-4,"$12,347 ",-2.40%,"$1,284.00 ",-,"$64,382 ","$19,868 ",Energy,Utilities: Gas and Electric,Rosemead,CA,34.0805651,-118.072846
259,260,CenterPoint Energy,"14,262",39,"$12,301 ",16.20%,$791.00 ,114.90%,"$35,439 ","$7,765 ",Energy,Utilities: Gas and Electric,Houston,TX,29.7604267,-95.36980279999999
260,261,Quanta Services,"40,300",22,"$12,112 ",8.40%,$402.00 ,37.10%,"$8,332 ","$4,537 ",Engineering &  Construction,"Engineering, Construction",Houston,TX,29.7604267,-95.36980279999999
261,262,Murphy USA,"7,250",-5,"$12,101 ",-3.40%,$154.80 ,-27.50%,"$2,687 ","$2,557 ",Retailing,Specialty Retailers: Other,El Dorado,AR,33.20763,-92.66626740000001
262,263,Expedia Group,"25,400",17,"$12,067 ",7.50%,$565.00 ,39.20%,"$21,416 ","$7,877 ",Retailing,Internet Services and Retailing,Bellevue,WA,47.6101497,-122.2015159
263,264,Group 1 Automotive,"15,296",8,"$12,044 ",3.80%,$174.00 ,10.30%,"$5,570 ",$813 ,Retailing,"Automotive Retailing, Services",Houston,TX,29.7604267,-95.36980279999999
264,265,Bed Bath & Beyond,"62,000",-7,"$12,029 ",-2.60%,($137.20),-132.30%,"$6,571 ",$535 ,Retailing,Specialty Retailers: Other,Union,NJ,40.697589799999996,-74.2631635
265,266,Unum Group,"10,300",7,"$11,999 ",3.50%,"$1,100.30 ",110.20%,"$67,013 ","$3,047 ",Financials,"Insurance: Life, Health (stock)",Chattanooga,TN,35.0456297,-85.3096801
